ID_SCUOLA;CODICE_SCUOLA;DENOMINAZIONE;TIPO_SCUOLA;ENTE;REGIONE;PROVINCIA;COMUNE;CAP;INDIRIZZO;TELEFONO;LIVELLO_FUNZIONALE;CODICE_SCUOLA_RIFERIMENTO;TIPOLOGIA;TIPOLOGIA_SEDE;PARITA;CODICE_ISTAT;
11469;FGRH01050B;I.P.S.A.R.  E. MATTEI (CORSO SERALE);ISTITUTO PROFESSIONALE PER I SERVIZI ALBERGHIERI E RISTORAZIONE;Statale;PUGLIA;FOGGIA;VIESTE;;LOCALITA' MACCHIA DI MAURO, S.N.C.;;CORSO SERALE;FGRH010002;;;;071060;
1905;FGRH06050C;I.P.SS.A.R. - SERALE;ISTITUTO PROFESSIONALE PER I SERVIZI ALBERGHIERI E RISTORAZIONE;Statale;PUGLIA;FOGGIA;SAN GIOVANNI ROTONDO;71013;VIA PALESTRO;0882 413104;CORSO SERALE;FGRH060003;SS;;;071046;
1906;FGRI001504;I.I.S. MONTE S.ANGELO IPSIA - CORSO SERALE;ISTITUTO PROFESSIONALE INDUSTRIA E ARTIGIANATO;Statale;PUGLIA;FOGGIA;MONTE SANT'ANGELO;71037;VIA DEL PRESEPE;;CORSO SERALE;FGRI00101Q;SS;;;071033;
1910;FGRI01350A;IST. PROF. PER L'INDUSTRIA E ARTIGIANATO -SERALE;ISTITUTO PROFESSIONALE INDUSTRIA E ARTIGIANATO;Statale;PUGLIA;FOGGIA;ISCHITELLA;71010;;;CORSO SERALE;FGRI013012;SS;;;071025;
1919;FGRI014528;IST. PROF.LE INDUSTRIA E ARTIGIANATO -SERALE;ISTITUTO PROFESSIONALE INDUSTRIA E ARTIGIANATO;Statale;PUGLIA;FOGGIA;SAN NICANDRO GARGANICO;71015;STRADA STATALE, 89;;CORSO SERALE;FGRI01402V;SS;;;071049;
1912;FGRI020015;FOGGIA;ISTITUTO PROFESSIONALE INDUSTRIA E ARTIGIANATO;Statale;PUGLIA;FOGGIA;BOVINO;71023;PIAZZA M.BOFFA;0881 961489;;FGRI020004;SS;;;071007;
1915;FGRI020059;PIER GIORGIO FRASSATI;ISTITUTO PROFESSIONALE INDUSTRIA E ARTIGIANATO;Statale;PUGLIA;FOGGIA;SANT'AGATA DI PUGLIA;71028;VIA S.MARIA LE GRAZIE;0881 984120;;FGRI020004;SS;;;071052;
2389;FGST01001G;UMBERTO GIORDANO;CONSERVATORIO DI MUSICA;Statale;PUGLIA;FOGGIA;RODI GARGANICO;71012;VIA VITO LE NOCI 1;;;FGST01000E;SS;;;071043;
11417;FGTA011521;I.T.A. PAVONCELLI  (CORSO SERALE);ISTITUTO TECNICO AGRARIO;Statale;PUGLIA;FOGGIA;CERIGNOLA;;;;CORSO SERALE;FGTA01101E;;;;071020;
1957;FGTD00351B;FEDERICO II - SERALE;ISTITUTO TECNICO COMMERCIALE E PER GEOMETRI;Statale;PUGLIA;FOGGIA;APRICENA;71011;VIA PIO LA TORRE;;CORSO SERALE;FGTD003012;SS;;;071004;
11987;FGTD004506;I.T.C.  FAZZINI  (CORSO SERALE);ISTITUTO TECNICO COMMERCIALE;Statale;PUGLIA;FOGGIA;VIESTE;;;;CORSO SERALE;FGTD00401T;;;;071060;
1931;FGTD01050D;A. FRACCACRETA  (CORSO SERALE);ISTITUTO TECNICO COMMERCIALE E PER GEOMETRI;Statale;PUGLIA;FOGGIA;SAN SEVERO;71016;VIA ADDA 2;0882 221596;CORSO SERALE;FGTD010004;SS;;;071051;
1932;FGTD013501;IST. TECNICO COMM.LE E GEOM. (CORSO SERALE);ISTITUTO TECNICO COMMERCIALE E PER GEOMETRI;Statale;PUGLIA;FOGGIA;RODI GARGANICO;71012;VIA G. ALTOMARE, 10;;CORSO SERALE;FGTD01301L;SS;;;071043;
1934;FGTD020504;IST. TEC. COMM.LE - SERALE;ISTITUTO TECNICO COMMERCIALE E PER GEOMETRI;Statale;PUGLIA;FOGGIA;CERIGNOLA;71042;VIA TIRO A SEGNO;;CORSO SERALE;FGTD02000P;SS;;;071020;
1944;FGTD05002L;P. GIANNONE;ISTITUTO TECNICO COMMERCIALE E PER GEOMETRI;Statale;PUGLIA;FOGGIA;TROIA;71029;VIA ALDO MORO;0881 977090;;FGTD05000E;SS;;;071058;
1943;FGTD05001G;P. GIANNONE;ISTITUTO TECNICO COMMERCIALE E PER GEOMETRI;Statale;PUGLIA;FOGGIA;CANDELA;71024;VIA MICCOLI;0885 653927;;FGTD05000E;SS;;;071009;
1945;FGTD05050X;ISTITUTO TECNICO COMMERCIALE  (CORSO SERALE);ISTITUTO TECNICO COMMERCIALE E PER GEOMETRI;Statale;PUGLIA;FOGGIA;TROIA;71029;BIEN.-TRIEN.RIENTRI FORM.SIRIO -IND.GIUR.EC.AZ.;0881 977090;CORSO SERALE;FGTD05002L;SS;;;071058;
