ID_DIPLOMA;DESCRIZIONE;TIPO_SCUOLA;CODICE_TIPO_SCUOLA;
12;TECNICO GESTIONE AZIENDALE LINGUISTICA;ISTITUTO PROFESSIONALE PER I SERVIZI TURISTICI;RC;
115;TECNICO DELLA GRAFICA PUBBLICITARIA;ISTITUTO PROFESSIONALE PER I SERVIZI PUBBLICITARI;RC;
115;TECNICO DELLA GRAFICA PUBBLICITARIA;ISTITUTO PROFESSIONALE PER I SERVIZI COMMERCIALI, TURISTICI E DELLA PUBBLICITA';RC;
115;TECNICO DELLA GRAFICA PUBBLICITARIA;ISTITUTO PROFESSIONALE PER I SERVIZI COMMERCIALI;RC;
115;TECNICO DELLA GRAFICA PUBBLICITARIA;ISTITUTO PROFESSIONALE PER I SERVIZI COMMERCIALI E TURISTICI;RC;
115;TECNICO DELLA GRAFICA PUBBLICITARIA;ISTITUTO PROFESSIONALE PER I SERVIZI TURISTICI;RC;
117;TECNICO DEI SERVIZI TURISTICI;ISTITUTO PROFESSIONALE PER I SERVIZI PUBBLICITARI;RC;
117;TECNICO DEI SERVIZI TURISTICI;ISTITUTO PROFESSIONALE PER I SERVIZI COMMERCIALI, TURISTICI E DELLA PUBBLICITA';RC;
117;TECNICO DEI SERVIZI TURISTICI;ISTITUTO PROFESSIONALE PER I SERVIZI COMMERCIALI;RC;
117;TECNICO DEI SERVIZI TURISTICI;ISTITUTO PROFESSIONALE PER I SERVIZI COMMERCIALI E TURISTICI;RC;
117;TECNICO DEI SERVIZI TURISTICI;ISTITUTO PROFESSIONALE PER I SERVIZI TURISTICI;RC;
201;PROFESSIONALE (GENERICO);ISTITUTO PROFESSIONALE PER I SERVIZI PUBBLICITARI;RC;
201;PROFESSIONALE (GENERICO);ISTITUTO PROFESSIONALE PER I SERVIZI COMMERCIALI, TURISTICI E DELLA PUBBLICITA';RC;
201;PROFESSIONALE (GENERICO);ISTITUTO PROFESSIONALE PER I SERVIZI COMMERCIALI;RC;
201;PROFESSIONALE (GENERICO);ISTITUTO PROFESSIONALE PER I SERVIZI COMMERCIALI E TURISTICI;RC;
201;PROFESSIONALE (GENERICO);ISTITUTO PROFESSIONALE PER I SERVIZI TURISTICI;RC;
8;TECNICO SERVIZI SOCIALI;ISTITUTO PROFESSIONALE FEMMINILE;RF;
8;TECNICO SERVIZI SOCIALI;ISTITUTO PROFESSIONALE PER I SERVIZI SOCIALI;RF;
19;TECNICO DEI SERVIZI DELLA RISTORAZIONE;ISTITUTO PROFESSIONALE PER I SERVIZI ALBERGHIERI E RISTORAZIONE;RH;
19;TECNICO DEI SERVIZI DELLA RISTORAZIONE;ISTITUTO PROFESSIONALE ALBERGHIERO;RH;
6;TECNICO DELL'INDUSTRIA GRAFICA;ISTITUTO PROFESSIONALE INDUSTRIA E ARTIGIANATO;RI;
7;TECNICO IND. ELETTRICHE  ELETTRONICHE;ISTITUTO PROFESSIONALE INDUSTRIA E ARTIGIANATO;RI;
9;ODONTOTECNICO;ISTITUTO PROFESSIONALE INDUSTRIA E ARTIGIANATO;RI;
10;OTTICO;ISTITUTO PROFESSIONALE INDUSTRIA E ARTIGIANATO;RI;
13;TECNICO CHIMICO E BIOLOGICO;ISTITUTO PROFESSIONALE INDUSTRIA E ARTIGIANATO;RI;
14;TECNICO DELL'ABBIGLIAMENTO E DELLA MODA;ISTITUTO PROFESSIONALE INDUSTRIA E ARTIGIANATO;RI;
15;TECNICO INDUSTRIA DEL MOBILE E ARREDAMENTO;ISTITUTO PROFESSIONALE INDUSTRIA E ARTIGIANATO;RI;
