ID_UNIVERSITA;NOME;STATALE;VIA;CAP;COD_COMUNE;COMUNE;PROVINCIA;COD_TIPO_STRUTTURA_ATENEO;NOTA;ANNO_INTRODUZIONE;
T30;Conservatorio di Musica "GIUSEPPE NICOLINI";Statale;;;033032;PIACENZA;PC;AFAM - CONS;Conservatorio di musica;;
T31;Conservatorio di Musica "GIUSEPPE TARTINI";Statale;;;032006;TRIESTE;TS;AFAM - CONS;Conservatorio di musica;;
T32;Conservatorio di Musica "GIUSEPPE VERDI" di TORINO;Statale;;;001272;TORINO;TO;AFAM - CONS;Conservatorio di musica;;
T33;Conservatorio di Musica "GIUSEPPE VERDI" di COMO;Statale;;;013075;COMO;CO;AFAM - CONS;Conservatorio di musica;;
T34;Conservatorio di Musica "GIUSEPPE VERDI" di MILANO;Statale;;;015146;MILANO;MI;AFAM - CONS;Conservatorio di musica;;
T35;Conservatorio di Musica "GUIDO CANTELLI";Statale;;;003106;NOVARA;NO;AFAM - CONS;Conservatorio di musica;;
T36;Conservatorio di Musica "JACOPO TOMADINI";Statale;;;030129;UDINE;UD;AFAM - CONS;Conservatorio di musica;;
T37;Conservatorio di Musica "LICINIO REFICE";Statale;;;060038;FROSINONE;FR;AFAM - CONS;Conservatorio di musica;;
T38;Conservatorio di Musica "LORENZO PEROSI";Statale;;;070006;CAMPOBASSO;CB;AFAM - CONS;Conservatorio di musica;;
T39;Conservatorio di Musica "LUCA MARENZIO";Statale;;;017029;BRESCIA;BS;AFAM - CONS;Conservatorio di musica;;
T41;Conservatorio di Musica "LUCIO CAMPIANI";Statale;;;020030;MANTOVA;MN;AFAM - CONS;Conservatorio di musica;;
T42;Conservatorio di Musica "LUIGI CANEPA";Statale;;;090064;SASSARI;SS;AFAM - CONS;Conservatorio di musica;;
T43;Conservatorio di Musica "LUIGI CHERUBINI";Statale;;;048017;FIRENZE;FI;AFAM - CONS;Conservatorio di musica;;
T44;Conservatorio di Musica "LUISA D'ANNUNZIO";Statale;;;068028;PESCARA;PE;AFAM - CONS;Conservatorio di musica;;
T45;Conservatorio di Musica "NICCOLO' PICCINNI";Statale;;;072006;BARI;BA;AFAM - CONS;Conservatorio di musica;;
T46;Conservatorio di Musica "NICOLO' PAGANINI";Statale;;;010025;GENOVA;GE;AFAM - CONS;Conservatorio di musica;;
T47;Conservatorio di Musica "NINO ROTA";Statale;;;072030;MONOPOLI;BA;AFAM - CONS;Conservatorio di musica;;
T48;Conservatorio di Musica "OTTORINO RESPIGHI";Statale;;;059011;LATINA;LT;AFAM - CONS;Conservatorio di musica;;
T49;Conservatorio di Musica "PIERLUIGI DA PALESTRINA";Statale;;;092009;CAGLIARI;CA;AFAM - CONS;Conservatorio di musica;;
T50;Conservatorio di Musica "S. CECILIA";Statale;;;058091;ROMA;RM;AFAM - CONS;Conservatorio di musica;;
T51;Conservatorio di Musica "S.PIETRO A MAJELLA";Statale;;;063049;NAPOLI;NA;AFAM - CONS;Conservatorio di musica;;
T52;Conservatorio di Musica "SALERNO";Statale;;;065116;SALERNO;SA;AFAM - CONS;Conservatorio di musica;;
T53;Conservatorio di Musica "STANISLAO GIACOMANTONIO";Statale;;;078045;COSENZA;CS;AFAM - CONS;Conservatorio di musica;;
T54;Conservatorio di Musica "TITO SCHIPA";Statale;;;075035;LECCE;LE;AFAM - CONS;Conservatorio di musica;;
T55;Conservatorio di Musica "UMBERTO GIORDANO";Statale;;;071024;FOGGIA;FG;AFAM - CONS;Conservatorio di musica;;
T57;Conservatorio di Musica "VINCENZO BELLINI";Statale;;;082053;PALERMO;PA;AFAM - CONS;Conservatorio di musica;;
T58;Istituto Musicale Pareggiato "P.I.TCHAIKOVSKY";Non Statale;;;079074;MARTIRANO LOMBARDO;CZ;AFAM - CONS;Istituto musicale pareggiato;;
T59;Istituto Musicale Pareggiato "A. TONELLI";Non Statale;;;036005;CARPI;MO;AFAM - CONS;Istituto musicale pareggiato;;
T60;Istituto Musicale Pareggiato "ACHILLE PERI";Non Statale;;;035033;REGGIO NELL'EMILIA;RE;AFAM - CONS;Istituto musicale pareggiato;;
T61;Istituto Musicale Pareggiato "CEGLIE MESSAPICA";Non Statale;;;074003;CEGLIE MESSAPICA;BR;AFAM - CONS;Istituto musicale pareggiato;;
T62;Istituto Musicale Pareggiato "DELLA VALLE D'AOSTA";Non Statale;;;007003;AOSTA;AO;AFAM - CONS;Istituto musicale pareggiato;;
T63;Istituto Musicale Pareggiato "DI CREMONA";Non Statale;;;019036;CREMONA;CR;AFAM - CONS;Istituto musicale pareggiato;;
T64;Istituto Musicale Pareggiato "FRANCO VITTADINI DI PAVIA";Non Statale;;;018110;PAVIA;PV;AFAM - CONS;Istituto musicale pareggiato;;
T65;Istituto Musicale Pareggiato "G.B. PERGOLESI DI ANCONA";Non Statale;;;042002;ANCONA;AN;AFAM - CONS;Istituto musicale pareggiato;;
T66;Istituto Musicale Pareggiato "G.LETTIMI RIMINI";Non Statale;;;099014;RIMINI;RN;AFAM - CONS;Istituto musicale pareggiato;;
T67;Istituto Musicale Pareggiato "GAETANO BRAGA";Non Statale;;;067041;TERAMO;TE;AFAM - CONS;Istituto musicale pareggiato;;
T68;Istituto Musicale Pareggiato "GAETANO DONIZETTI";Non Statale;;;016024;BERGAMO;BG;AFAM - CONS;Istituto musicale pareggiato;;
T69;Istituto Musicale Pareggiato "GIACOMO PUCCINI";Non Statale;;;012070;GALLARATE;VA;AFAM - CONS;Istituto musicale pareggiato;;
T70;Istituto Musicale Pareggiato "GIOVANNI PAESIELLO";Non Statale;;;073027;TARANTO;TA;AFAM - CONS;Istituto musicale pareggiato;;
T71;Istituto Musicale Pareggiato "GIOVANNI PAISIELLO";Non Statale;;;073027;TARANTO;TA;AFAM - CONS;Istituto musicale pareggiato;;
T72;Istituto Musicale Pareggiato "GIULIO BRICCIALDI";Non Statale;;;055032;TERNI;TR;AFAM - CONS;Istituto musicale pareggiato;;
T73;Istituto Musicale Pareggiato "GIUSEPPE VERDI";Non Statale;;;039014;RAVENNA;RA;AFAM - CONS;Istituto musicale pareggiato;;
T74;Istituto Musicale Pareggiato "LUIGI BOCCHERINI";Non Statale;;;046017;LUCCA;FI;AFAM - CONS;Istituto musicale pareggiato;;
T75;Istituto Musicale Pareggiato "MERULO";Non Statale;;;035016;CASTELNOVO NE' MONTI;RE;AFAM - CONS;Istituto musicale pareggiato;;
T76;Istituto Musicale Pareggiato "ORAZIO VECCHI";Non Statale;;;036023;MODENA;MO;AFAM - CONS;Istituto musicale pareggiato;;
T77;Istituto Musicale Pareggiato "PIETRO MASCAGNI";Non Statale;;;049009;LIVORNO;LI;AFAM - CONS;Istituto musicale pareggiato;;
T78;Istituto Musicale Pareggiato "R. FRANCI";Non Statale;;;052032;SIENA;SI;AFAM - CONS;Istituto musicale pareggiato;;
T79;Istituto Musicale Pareggiato "VINCENZO BELLINI" - CALTANISSETTA;Non Statale;;;085004;CALTANISSETTA;CL;AFAM - CONS;Istituto musicale pareggiato;;
T80;Istituto Musicale Pareggiato "VINCENZO BELLINI" - CATANIA;Non Statale;;;087015;CATANIA;CT;AFAM - CONS;Istituto musicale pareggiato;;
T90;Conservatorio di Musica (generico);Non Statale;;;999999;COMUNE NON FORNITO;99;AFAM - CONS;Conservatorio di musica;;
T91;Istituto Musicale Pareggiato (generico);Non Statale;;;999999;COMUNE NON FORNITO;99;AFAM - CONS;Istituto Musicale pareggiato;;
M01;Accademia Albertina;Statale;;;001272;TORINO;TO;AFAM - ACCAD;Accademia di belle arti;;
M02;Accademia di Belle Arti di BARI;Statale;;;072006;BARI;BA;AFAM - ACCAD;Accademia di belle arti;;
M03;Accademia di Belle Arti di BOLOGNA;Statale;;;037006;BOLOGNA;BO;AFAM - ACCAD;Accademia di belle arti;;
M04;Accademia di Belle Arti di CARRARA;Statale;;;045003;CARRARA;MS;AFAM - ACCAD;Accademia di belle arti;;
M05;Accademia di Belle Arti di CATANIA;Statale;;;087015;CATANIA;CT;AFAM - ACCAD;Accademia di belle arti;;
M06;Accademia di Belle Arti di CATANZARO;Statale;;;079023;CATANZARO;CZ;AFAM - ACCAD;Accademia di belle arti;;
M07;Accademia di Belle Arti di FIRENZE;Statale;;;048017;FIRENZE;FI;AFAM - ACCAD;Accademia di belle arti;;
M08;Accademia di Belle Arti di FOGGIA;Statale;;;071024;FOGGIA;FG;AFAM - ACCAD;Accademia di belle arti;;
M09;Accademia di Belle Arti di FROSINONE;Statale;;;060038;FROSINONE;FR;AFAM - ACCAD;Accademia di belle arti;;
M10;Accademia di Belle Arti di L'AQUILA;Statale;;;066049;L'AQUILA;AQ;AFAM - ACCAD;Accademia di belle arti;;
M11;Accademia di Belle Arti di LECCE;Statale;;;075035;LECCE;LE;AFAM - ACCAD;Accademia di belle arti;;
M12;Accademia di Belle Arti di MACERATA;Statale;;;043023;MACERATA;MC;AFAM - ACCAD;Accademia di belle arti;;
M13;Accademia di Belle Arti di Brera - MILANO;Statale;;;015146;MILANO;MI;AFAM - ACCAD;Accademia di belle arti;;
M14;Accademia di Belle Arti di NAPOLI;Statale;;;063049;NAPOLI;NA;AFAM - ACCAD;Accademia di belle arti;;
M15;Accademia di Belle Arti di PALERMO;Statale;;;082053;PALERMO;PA;AFAM - ACCAD;Accademia di belle arti;;
M16;Accademia di Belle Arti di REGGIO CALABRIA;Statale;;;080063;REGGIO DI CALABRIA;RC;AFAM - ACCAD;Accademia di belle arti;;
M17;Accademia di Belle Arti di ROMA;Statale;;;058091;ROMA;RM;AFAM - ACCAD;Accademia di belle arti;;
M18;Accademia di Belle Arti di SASSARI;Statale;;;090064;SASSARI;SS;AFAM - ACCAD;Accademia di belle arti;;
M19;Accademia di Belle Arti di URBINO;Statale;;;041067;URBINO;PU;AFAM - ACCAD;Accademia di belle arti;;
M20;Accademia di Belle Arti di VENEZIA;Statale;;;027042;VENEZIA;VE;AFAM - ACCAD;Accademia di belle arti;;
M21;Accademia di Belle Arti "Mediterranea" di MESSINA;Non Statale;;;083048;MESSINA;ME;AFAM - ACCAD;Accademia di belle arti leg. ricon.;;
M22;Accademia di Belle Arti "Mediterranea" di RAGUSA;Non Statale;;;088009;RAGUSA;RG;AFAM - ACCAD;Accademia di belle arti leg. ricon.;;
M23;Accademia di Belle Arti Leg. Ricon. "A.C.M.E" DI MILANO;Non Statale;;;015146;MILANO;MI;AFAM - ACCAD;Accademia di belle arti leg. ricon.;;
M24;Accademia di Belle Arti Leg. Ricon. "A.C.M.E" DI NOVARA;Non Statale;;;003106;NOVARA;NO;AFAM - ACCAD;Accademia di belle arti leg. ricon.;;
M25;Accademia di Belle Arti Leg. Ricon. "FIDIA";Non Statale;;;102047;VIBO VALENTIA;VV;AFAM - ACCAD;Accademia di belle arti leg. ricon.;;
M26;Accademia di Belle Arti Leg. Ricon. ABADIR;Non Statale;;;082049;MONREALE;PA;AFAM - ACCAD;Accademia di belle arti leg. ricon.;;
M27;Accademia di Belle Arti Leg. Ricon. SANTAGIULIA;Non Statale;;;017029;BRESCIA;BS;AFAM - ACCAD;Accademia di belle arti leg. ricon.;;
M28;Accademia di Belle Arti Leg. Ricon. ALDO GALLI;Non Statale;;;013075;COMO;CO;AFAM - ACCAD;Accademia di belle arti leg. ricon.;;
M29;Accademia di Belle Arti Leg. Ricon. CARRARA;Non Statale;;;016024;BERGAMO;BG;AFAM - ACCAD;Accademia di belle arti leg. ricon.;;
M30;Accademia di Belle Arti Leg. Ricon. CIGNAROLI DI VERONA;Non Statale;;;023091;VERONA;VR;AFAM - ACCAD;Accademia di belle arti leg. ricon.;;
M31;Accademia di Belle Arti Leg. Ricon. CUNEO;Non Statale;;;004078;CUNEO;CN;AFAM - ACCAD;Accademia di belle arti leg. ricon.;;
M32;Accademia di Belle Arti Leg. Ricon. KANDINSKIJ;Non Statale;;;081021;TRAPANI;TP;AFAM - ACCAD;Accademia di belle arti leg. ricon.;;
M33;Accademia di Belle Arti Leg. Ricon. LIBERA ACCADEMIA DI BELLE ARTI - LABA;Non Statale;;;017029;BRESCIA;BS;AFAM - ACCAD;Accademia di belle arti leg. ricon.;;
M34;Accademia di Belle Arti Leg. Ricon. LORENZO DA VITERBO;Non Statale;;;056059;VITERBO;VT;AFAM - ACCAD;Accademia di belle arti leg. ricon.;;
M35;Accademia di Belle Arti Leg. Ricon. LORENZO LOTTO;Non Statale;;;016024;BERGAMO;BG;AFAM - ACCAD;Accademia di belle arti leg. ricon.;;
M36;Accademia di Belle Arti Leg. Ricon. MICHELANGELO;Non Statale;;;084001;AGRIGENTO;AG;AFAM - ACCAD;Accademia di belle arti leg. ricon.;;
M37;Accademia di Belle Arti Leg. Ricon. NIKE;Non Statale;;;087015;CATANIA;CT;AFAM - ACCAD;Accademia di belle arti leg. ricon.;;
M38;Accademia di Belle Arti Leg. Ricon. NUOVA ACCADEMIA DI BELLE ARTI -MILANO;Non Statale;;;015146;MILANO;MI;AFAM - ACCAD;Accademia di belle arti leg. ricon.;;
M39;Accademia di Belle Arti Leg. Ricon. PICASSO;Non Statale;;;082053;PALERMO;PA;AFAM - ACCAD;Accademia di belle arti leg. ricon.;;
M40;Accademia di Belle Arti Leg. Ricon. PIETRO VANNUCCI;Non Statale;;;054039;PERUGIA;PG;AFAM - ACCAD;Accademia di belle arti leg. ricon.;;
M41;Accademia di Belle Arti Leg. Ricon. RAVENNA;Non Statale;;;039014;RAVENNA;RA;AFAM - ACCAD;Accademia di belle arti leg. ricon.;;
M42;Accademia di Belle Arti Leg. Ricon. ROSARIO GAGLIARDI;Non Statale;;;089017;SIRACUSA;SR;AFAM - ACCAD;Accademia di belle arti leg. ricon.;;
M43;Accademia di Belle Arti Leg. Ricon. S.AGATA LI BATTIATI;Non Statale;;;087045;SANT'AGATA LI BATTIATI;CT;AFAM - ACCAD;Accademia di belle arti leg. ricon.;;
M44;Accademia di Belle Arti Leg. Ricon. "I.DUNCAN" di SANREMO;Non Statale;;;008055;SANREMO;IM;AFAM - ACCAD;Accademia di belle arti leg. ricon.;;
M45;Accademia di Belle Arti Leg. Ricon. di ROMA;Non Statale;;;058091;ROMA;RM;AFAM - ACCAD;Accademia di belle arti leg. ricon.;;
M46;Accademia Linguistica di Belle Arti;Non Statale;;;010025;GENOVA;GE;AFAM - ACCAD;Accademia di belle arti leg. ricon.;;
L01;Politecnico della Cultura delle Arti e delle Lingue - Scuole Civiche di MILANO;Non Statale;;;015146;MILANO;MI;SC;Scuole Civiche di Milano;;
N01;Accademia Nazionale di Danza - ROMA;Statale;;;058091;ROMA;RM;AFAM - ACCAD;Accademia nazionale di danza;;
R01;Accademia Nazionale d'Arte Drammatica - ROMA;Statale;;;058091;ROMA;RM;AFAM - ACCAD;Accademia nazionale d'arte drammatica;;
Q01;Istituto Superiore per le Industrie Artistiche FAENZA;Statale;;;039010;FAENZA;RA;AFAM - ISIA;Istituto superiore per le industrie artistiche;;
Q02;Istituto Superiore per le Industrie Artistiche FIRENZE;Statale;;;048017;FIRENZE;FI;AFAM - ISIA;Istituto superiore per le industrie artistiche;;
Q03;Istituto Superiore per le Industrie Artistiche URBINO;Statale;;;041067;URBINO;PU;AFAM - ISIA;Istituto superiore per le industrie artistiche;;
Q04;Istituto Superiore per le Industrie Artistiche ROMA;Statale;;;058091;ROMA;RM;AFAM - ISIA;Istituto superiore per le industrie artistiche;;
V01;Istituto Europeo di Design (IED);Non Statale;;;015146;MILANO;MI;AFAM - DESIGN;Istituto Europeo di Design (IED);;
V02;Istituto d'Arte Applicata e Design (IAAD);Non Statale;;;001272;TORINO;TO;AFAM - DESIGN;Istituto d'Arte Applicata e Design  (IAAD);;
U01;Accademia Aeronautica di Pozzuoli;Non Statale;;;063060;POZZUOLI;NA;MILITARE;Ente universitario militare;;
U02;Accademia della Guardia di Finanza di Bergamo;Non Statale;;;016024;BERGAMO;BG;MILITARE;Ente universitario militare;;
U03;Accademia Militare di Modena;Non Statale;;;036023;MODENA;MO;MILITARE;Ente universitario militare;;
U04;Accademia Navale di Livorno;Non Statale;;;049009;LIVORNO;LI;MILITARE;Ente universitario militare;;
U05;Scuola Militare e/o di Polizia (generico);Non Statale;;;999999;COMUNE NON FORNITO;99;MILITARE;Ente universitario militare;;
997;Accademia delle Belle Arti (generica);Statale;;;999999;COMUNE NON FORNITO;99;AFAM - ACCAD;Codifica generale per l'Accademia delle Belle Arti;;
998;Università estera;Statale;;;999998;COMUNE ESTERO;98;UNIV;;;
999;Università non definita;Statale;;;999999;COMUNE NON FORNITO;99;UNIV;;;
