ID_UNIVERSITA;NOME;STATALE;VIA;CAP;COD_COMUNE;COMUNE;PROVINCIA;COD_TIPO_STRUTTURA_ATENEO;NOTA;ANNO_INTRODUZIONE;
22;Università degli Studi di PAVIA;Statale;Corso Strada Nuova, 65;27100;018110;PAVIA;PV;UNIV;;;
23;Università degli Studi di PERUGIA;Statale;P.zza dell' Universita', 1;06123;054039;PERUGIA;PG;UNIV;;;
99;Università per Stranieri di PERUGIA;Statale;P.zza Fortebraccio, 4 Palazzo Gallenga;06122;054039;PERUGIA;PG;UNIV;;;
C8;Università degli Studi del PIEMONTE ORIENTALE "Amedeo Avogadro"-Vercelli;Statale;Via Duomo, 6;13100;002158;VERCELLI;VC;UNIV;;;
24;Università di PISA;Statale;Lungarno Pacinotti, 43/44;56126;050026;PISA;PI;UNIV;;;
43;Scuola Normale Superiore di PISA;Statale;P.zza dei Cavalieri, 7;56126;050026;PISA;PI;UNIV;;;
44;Scuola Sup. di Studi Univ. e Perfezionamento S.Anna di PISA;Statale;P.zza Martiri della Libertà, 33;56127;050026;PISA;PI;UNIV;;;
47;Università degli Studi "Mediterranea" di REGGIO CALABRIA;Statale;Via Diana, 3;89125;080063;REGGIO DI CALABRIA;RC;UNIV;;;
25;Istituto di Architettura di REGGIO CALABRIA;Statale;;;080063;REGGIO DI CALABRIA;RC;UNIV;Cessata in data 01/11/1990;;
E9;Università per Stranieri "Dante Alighieri" di REGGIO CALABRIA;Non Statale;Via Torrione, 95;89125;080063;REGGIO DI CALABRIA;RC;UNIV;;2007;
26;Università degli Studi di ROMA "La Sapienza";Statale;P.zza Aldo Moro, 5;00185;058091;ROMA;RM;UNIV;;;
27;Università degli Studi di ROMA "Tor Vergata";Statale;Via O. Raimondo,18 Loc. La Romanina;00173;058091;ROMA;RM;UNIV;;;
A7;Università degli Studi ROMA TRE;Statale;Via Ostiense, 159;00154;058091;ROMA;RM;UNIV;;;
C0;Universita' degli Studi di Roma "Foro Italico";Statale;Piazza Lauro de Bosis, 15;00194;058091;ROMA;RM;UNIV;;;
D7;Università non statale Europea di Roma;Non Statale;Via degli Aldobrandeschi, 190;00163;058091;ROMA;RM;UNIV;Istituita con Decreto Ministeriale del 4 maggio 2005;2005;
61;Libera Univ. Inter.le Studi Sociali "Guido Carli" LUISS-ROMA;Non Statale;Viale Pola, 12;00198;058091;ROMA;RM;UNIV;;;
B0;Università degli Studi Internazionali di ROMA (UNINT) ;Non Statale;Via Cristoforo Colombo, 200;00147;058091;ROMA;RM;UNIV;;;
A6;LINK CAMPUS University;Non Statale;Via Nomentana, 335;00162;058091;ROMA;RM;UNIV;Decreto di conferma del riconoscimento 21/09/2011 G.U. n. 268 del 17/11/2011;2011;
60;Libera Università degli Studi "Maria SS.Assunta" Roma;Non Statale;Via della Traspontina, 21;00193;058091;ROMA;RM;UNIV;;;
A0;Università "Campus Bio-Medico" ROMA;Non Statale;Via Alvaro del Portillo, 21;00128;058091;ROMA;RM;UNIV;;;
D3;Università Telematica Guglielmo Marconi;Non Statale;via Plinio, 44;00193;058091;ROMA;RM;UNITEL;Istituita con Decreto Ministeriale del 1 marzo 2004;2004;
D4;Università Telematica UNITELMA SAPIENZA ;Non Statale;Viale Regina Elena, 295;00161;058091;ROMA;RM;UNITEL;Istituita con Decreto Ministeriale del 7 Maggio 2005;2005;
28;Università degli Studi di SALERNO;Statale;Via Giovanni Paolo II, 132;84084;065052;FISCIANO;SA;UNIV;;;
C4;Università degli Studi del SANNIO di BENEVENTO;Statale;Piazza Guerrazzi, 1;82100;062008;BENEVENTO;BN;UNIV;;;
29;Università degli Studi di SASSARI;Statale;P.zza dell'Universita', 21;07100;090064;SASSARI;SS;UNIV;;;
30;Università degli Studi di SIENA;Statale;Via Banchi di Sotto, 55;53100;052032;SIENA;SI;UNIV;;;
97;Università per Stranieri di SIENA;Statale;Piazza Rosselli, 27-28;53100;052032;SIENA;SI;UNIV;;;
A8;Università degli Studi di TERAMO;Statale;Viale F.Crucioli,122;64100;067041;TERAMO;TE;UNIV;;;
31;Università degli Studi di TORINO;Statale;Via Verdi, 8;10124;001272;TORINO;TO;UNIV;;;
AA;Politecnico di TORINO - TEST;Statale;;;001272;TORINO;TO;UNIV;;;
32;Politecnico di TORINO;Statale;Corso Duca degli Abruzzi, 24;10129;001272;TORINO;TO;UNIV;;;
62;Università degli Studi di TRENTO;Statale;Via Calepina, 14;38122;022205;TRENTO;TN;UNIV;;;
33;Università degli Studi di TRIESTE;Statale;Piazzale Europa, 1;34127;032006;TRIESTE;TS;UNIV;;;
45;Scuola Internazionale Superiore di Studi Avanzati di TRIESTE;Statale;Via Bonomea, 265;34136;032006;TRIESTE;TS;UNIV;;;
35;Università degli Studi della TUSCIA;Statale;Via S.Maria in Gradi, 4;01100;056059;VITERBO;VT;UNIV;;;
34;Università degli Studi di UDINE;Statale;Via Palladio, 8;33100;030129;UDINE;UD;UNIV;;;
D0;Università Telematica Internazionale UNINETTUNO;Non Statale;Corso Vittorio Emanuele II, 39;00186;058091;ROMA;RM;UNITEL;Istituita con Decreto Ministeriale del 15 aprile 2005;2005;
63;Università degli Studi di URBINO "Carlo BO";Statale;Via A. Saffi, 2;61029;041067;URBINO;PU;UNIV;;;
D2;Università della VALLE D'AOSTA;Non Statale;Strada Cappuccini, 2A;11100;007003;AOSTA;AO;UNIV;;;
36;Università "Cà Foscari" di VENEZIA;Statale;Sestiere di Dorsoduro, 3246 Ca' Foscari;30123;027042;VENEZIA;VE;UNIV;;;
37;Università IUAV di VENEZIA;Statale;Sestiere di Santa Croce, 191 Tolentini;30125;027042;VENEZIA;VE;UNIV;;;
40;Università degli Studi di VERONA;Statale;Via dell'Artigliere, 8 Pal. Giuliari;37129;023091;VERONA;VR;UNIV;;;
