COD;DES
3427;SOCIOLOGIA DELLO SVILUPPO (1 SEM) V.O
3428;STORIA DEL CRISTIANESIMO  I (1 SEM) V.O
3429;ISTITUZIONI DI SOCIOLOGIA (1 SEM) V.O
3430;ECONOMIA POLITICA (2 SEM) V.O
3431;GEOGRAFIA REGIONALE (2 SEM) V.O
3432;GEOGRAFIA REGIONALE (1 SEM) V.O
3433;SOCIOLOGIA COMUNICAZIONE DI MASSA II (2 SEM) V.O
3434;ISTITUZIONI DI STORIA DELL'ARTE (2 SEM) V.O
3435;SOCIOLOGIA DELLE COMUNICAZ. MASSA  II (1 SEM) V.O
3436;STORIA DELLA FILOSOFIA  II (2 SEM) V.O
3437;IGIENE  II (1 SEM) V.O
3438;IGIENE  II (2 SEM) V.O
3439;STORIA ECONOMICA (1 SEM) V.O
3440;PSICOLOGIA DINAMICA  II (2 SEM) V.O
3441;TEORIA DELLA COMUNICAZIONE  II (2 SEM) V.O
3442;FILOLOGIA ROMANZA (1 SEM) V.O
3443;LINGUA INGLESE (1 SEM) V.O.
3444;ANTROPOLOGIA CULTURALE  I (1 SEM) V.O
3445;METODOLOGIA E TECNICA RICERCA SOCIALE (1 SEM) V.O
3446;STORIA DELLA PEDAGOGIA  I (1 SEM) V.O
3447;STORIA DELLA PEDAGOGIA  I (2 SEM) V.O
3448;PEDAGOGIA GENERALE  I (2 SEM) V.O
3449;STORIA DELLA SCUOLA E ISTIT. EDUC. I (2 SEM) V.O
3450;LINGUA INGLESE (2 SEM) V.O.
3451;LINGUA E LETTERATURA LATINA (1 SEM) V.O
3452;PALEOGRAFIA LATINA E DIPLOMATICA I V.O
3453;PEDAGOGIA SPERIMENTALE  I (1 SEM) V.O
3454;ISTITUZIONI DIRITTO PUB. LEG. SCOL.  I (1 S) V.O
3455;STORIA MODERNA (1 SEM) V.O
3456;STORIA MODERNA (2 SEM) V.O
3457;STORIA MEDIOEVALE  I (1 SEM) V.O
3458;STORIA DELLA FILOSOFIA  I (2 SEM) V.O
3459;PEDAGOGIA SPECIALE  I (1 SEM) V.O
3460;DOCIMOLOGIA  I (2 SEM) V.O
3461;STORIA DELLA SCUOLA E ISTIT. EDUC. I (1 SEM) V.O
3462;BIBLIOTECONOMIA (2 SEM) V.O
3463;TECNOLOGIE DELL'ISTRUZIONE  I (1 SEM) V.O
3464;TECNOLOGIE DELL'ISTRUZIONE  I (2 SEM) V.O
3465;EDUCAZIONE COMPARATA (1 SEM) V.O
3466;METODOLOGIA E DIDATTICA (2 SEM) V.O
3467;ESTETICA (1 SEM) V.O
3468;FILOSOFIA MORALE (1 SEM) V.O
3469;FILOSOFIA MORALE (2 SEM) V.O
3470;PSICOLOGIA GENERALE  I (1 SEM) V.O
3471;PSICOLOGIA GENERALE  I (2 SEM) V.O
3472;STORIA DELLA PSICOLOGIA (1 SEM) V.O
3473;PSICOLOGIA DINAMICA  I (1 SEM) V.O
3474;SOCIOLOGIA DELLA FAMIGLIA (2 SEM) V.O
3475;SOCIOLOGIA DELLE COMUNICAZ. MASSA  I (1 SEM) V.O
3476;SOCIOLOGIA DELLE COMUNICAZ. MASSA  I (2 SEM) V.O
3477;LEGISLAZIONE MINORILE (1 SEM) V.O
3478;LEGISLAZIONE MINORILE (2 SEM) V.O
3479;STORIA DEL TEATRO E DELLO SPETTACOLO I (1 S) V.O
3480;STORIA DEL TEATRO E DELLO SPETTACOLO I (2 S) V.O
3481;STORIA DELLA MUSICA (1 SEM) V.O
3482;EDUCAZIONE DEGLI ADULTI  I (2 SEM) V.O
3483;TEORIA DELLA COMUNICAZIONE  I (2 SEM) V.O
3484;FILOSOFIA TEORETICA  I (1 SEM) V.O
3485;FILOSOFIA TEORETICA  I (2 SEM) V.O
3486;PSICOLOGIA DELL'ETA' EVOLUTIVA  I (1 SEM) V.O
3487;PSICOLOGIA SOCIALE  I (1 SEM) V.O
3488;SOCIOLOGIA DELL'EDUCAZIONE  I (1 SEM) V.O
3489;SOCIOLOGIA  I (1 SEM) V.O
3490;SOCIOLOGIA  I (2 SEM) V.O
3491;STATISTICA APPLICATA ALLA RIC. EDUC. (1 SEM) V.O
3492;STORIA CONTEMPORANEA  I (2 SEM) V.O
3493;INFORMATICA  I (2 SEM) V.O
3494;NEUROPSICHIATRIA E PSICOLOGIA ETA' EVOLUTIVA V.O
3495;METODOLOGIA DIDATTICA (2 SEM) V.O
3496;ISTITUZIONI E POLITICA SCOLASTICA (2 SEM) V.O
3497;STORIA DELLA MUSICA (2 SEM) V.O
3498;FILOSOFIA DEL LINGUAGGIO  I (1 SEM) V.O
3499;FILOSOFIA DEL LINGUAGGIO  I (2 SEM) V.O
3500;PUERICULTURA (1 SEM) V.O
3501;LINGUA FRANCESE (1 SEM) V.O
3502;LINGUA SPAGNOLA (1 SEM) V.O
3503;LINGUA TEDESCA (1 SEM) V.O
3504;ISTITUZIONI DI DIRITTO PRIVATO (1 SEM) V.O
3505;LINGUA E LETTERATURA INGLESE (1 SEM) V.O
3506;LINGUA E LETTERATURA FRANCESE (1 SEM) V.O
3507;PEDAGOGIA COMPARATA (1 SEM) V.O
3508;PEDAGOGIA II (1 SEM) V.O
3509;STORIA DELLA FILOSOFIA ITALIANA (1 SEM) V.O
3510;FILOSOFIA DEL DIRITTO (1 SEM) V.O
3511;STORIA DELLE DOTTRINE POLITICHE (1 SEM) V.O
3512;PEDAGOGIA I (1 SEM) V.O
3513;PEDAGOGIA I (2 SEM) V.O
3514;GEOGRAFIA (1 SEM) V.O
3515;GEOGRAFIA (2 SEM) V.O
3516;PSICOLOGIA  I (2 SEM) V.O
3517;SOCIOLOGIA DELL'ORGANIZZAZIONE (2 SEM) V.O
3518;PEDAGOGIA GENERALE  II (2 SEM) V.O
3519;SOCIOLOGIA DEI PROCESSI CULTURALI (2 SEM) V.O
3520;METODOLOGIA DELLA RICERCA EDUCATIVA (2 SEM) V.O
3521;STORIA DELL'ORIENTE EUROPEO (1 SEM) V.O
3522;SOCIOLOGIA  I (1 SEM) V.O
3523;SOCIOLOGIA  I (2 SEM) V.O
3524;ELEMENTI DI STATISTICA (1 SEM) V.O
3525;FILOSOFIA DELL'EDUCAZIONE  I (2 SEM) V.O
3526;LOGICA (2 SEM) V.O
3527;PEDAGOGIA INTERCULTURALE  I (2 SEM) V.O.
3528;FONDAMENTI DELLA COMUNICAZIONE MUSICALE (2 S) V.O
3529;PEDAGOGIA SPECIALE  II (1 SEM) V.O
3530;PEDAGOGIA SOCIALE  I (2 SEM) V.O
3531;FILMOLOGIA (1 SEM) V.O
3532;PROPEDEUTICA FILOSOFICA (1 SEM) V.O
3533;STORIA DELLE RELIGIONI (1 SEM) V.O
3534;FILOSOFIA DELLA STORIA (1 SEM) V.O
3535;STORIA DELLE DOTTRINE POLITICHE (1 SEM) V.O
3536;STORIA MEDIOEVALE  I (1 SEM) V.O
3537;TEORIA E TECNICHE COMUNICAZ. DI MASSA (2 SEM) V.O
3538;STORIA DEL LIBRO (2 SEM) V.O
3539;STATISTICA  I (2 SEM) V.O
3540;FISICA MEDICA (1 SEM) V.O
3541;DIDATTICA GENERALE  I (2 SEM) V.O
3542;STORIA DEL LIBRO (1 SEM) V.O
3543;PSICOPEDAGOGIA (1 SEM) V.O
3544;PSICOLOGIA SCOLASTICA (1 SEM) V.O
3545;STORIA DELLA CRITICA LETTERARIA (1 SEM) V.O
3546;STORIA DELLA CRITICA LETTERARIA (2 SEM) V.O
3547;STORIA DELLA SOCIOLOGIA I (2 SEM) V.O
3548;METODOLOGIA INSEGNAMENTO LINGUISTICO I (1 S) V.O
3549;STORIA DELLA SCUOLA (2 SEM) V.O
3550;PSICOLOGIA DELLO SVILUPPO  I (1 SEM) V.O
3551;PSICOLOGIA DELLO SVILUPPO  I (2 SEM) V.O
3552;STORIA DELLA FILOSOFIA  I (1 SEM) V.O
3553;LETTERATURA ITALIANA (2 SEM) V.O
3554;ECONOMIA DELL'EDUCAZIONE (1 SEM) V.O
3555;LINGUISTICA GENERALE (1 SEM) V.O
3556;LINGUISTICA GENERALE (2 SEM) V.O
3557;STORIA DELLA LETT. ITAL. MOD. E CONTEM. (1 S) V.O
3558;BIBLIOGRAFIA E BIBLIOTECONOMIA (1 SEM) V.O
3559;ISTITUZIONI DI FILOSOFIA (1 SEM) V.O
3560;ISTITUZIONI DI FILOSOFIA (2 SEM) V.O
3561;PEDAGOGIA GENERALE  (ANNUALE) V.O
3562;PSICOPEDAGOGIA (2 SEM) V.O
3563;PSICOPEDAGOGIA LINGUAGGIO E COMUNIC. (2 SEM) V.O
3564;ISTITUZIONI DI DIRITTO PRIVATO V.O
3565;METODOLOGIA DELLA RICERCA PEDAG.CA  I (2 S) V.O
3566;PEDAGOGIA SPECIALE  II (1 SEM) V.O
3567;PEDAGOGIA SPECIALE  II (2 SEM) V.O
3568;STATISTICA  I (1 SEM) V.O
3569;STATISTICA  I (2 SEM) V.O
3570;METODOLOGIA DELLA RICERCA PEDAG.CA  I (1 S) V.O
3571;STORIA DELLA FILOSOFIA  II (1 SEM) V.O
3572;EDUCAZIONE DEGLI ADULTI  I (2 SEM) V.O
3573;SOCIOLOGIA DELL'EDUCAZIONE  II (2 SEM) V.O
3574;FILMOLOGIA I (2 SEM) V.O
3575;PSICOPATOLOGIA DELL'ETA' EVOLUTIVA (1 SEM) V.O
3576;METODI E TECNICHE DI PSICOMOTRICITA' (1 SEM) V.O
3577;METODI E TECNICHE DI PSICOMOTRICITA' (2 SEM) V.O
3578;PEDAGOGIA INTERCULTURALE  II (1 SEM) V.O.
3579;STORIA DELLA SCUOLA E ISTIT. EDUC. II (1 SEM) V.O
3580;STATISTICA  II (1 SEM) V.O
3581;LINGUA PORTOGHESE (1 SEM) V.O
3582;STORIA DELLA LETTERAT. PER L'INFANZIA (2 SEM) V.O
3583;EDUCAZIONE DEGLI ADULTI  II (1 SEM) V.O
3584;STORIA DELLA FILOSOFIA MOD. E CONTEM. (1 SEM) V.O
3585;STORIA DELLA FILOSOFIA MOD. E CONTEM. (2 SEM) V.O
3586;ISTITUZIONI DIRITTO PUB. LEG. SCOL.  II (1 S) V.O
3587;PSICOLOGIA SOCIALE  II (1 SEM) V.O
3588;PEDAGOGIA SOCIALE  II (2 SEM) V.O
3589;LETTERATURA PER L'INFANZIA  II (1 SEM) V.O
3590;LETTERATURA PER L'INFANZIA  II (2 SEM) V.O
3591;STORIA CONTEMPORANEA  II (2 SEM) V.O
3592;DIDATTICA GENERALE  II (2 SEM) V.O
3593;PSICOLOGIA DINAMICA  I (1 SEM) V.O
3594;IGIENE  I (1 SEM) V.O
3595;STORIA DELLA STAMPA E DELL'EDITORIA (2 SEM) V.O
3615;PEDAGOGIA SOCIALE  II (1 SEM) V.O
3616;EDUCAZIONE DEGLI ADULTI  II (2 SEM) V.O
3617;GRAMMATICA GRECA II V.O
3618;ANTROPOLOGIA FILOSOFICA (1 SEM) V.O
3619;ANTROPOLOGIA FILOSOFICA (2 SEM) V.O
3620;ISTITUZIONI DIRITTO PUB. LEG. SCOL.  II (2 S) V.O
3621;PSICOLOGIA SOCIALE  II (2 SEM) V.O
3622;PSICOLOGIA GENERALE  II (2 SEM) V.O
3623;STORIA CONTEMPORANEA  II  (1 SEM) V.O
3624;DIDATTICA GENERALE  II (1 SEM) V.O
3625;PSICOLOGIA GENERALE  II (1 SEM) V.O
3626;PSICOLOGIA DINAMICA  I (2 SEM) V.O
3627;METODOLOGIA DELL'EDUCAZIONE MUSICALE (2 SEM) V.O
3628;STORIA DELLA SOCIOLOGIA I (1 SEM) V.O
3629;PALEOGRAFIA E DIPLOMATICA (2 SEM) V.O
3630;BIOLOGIA ANIMALE (1 SEM) V.O
3631;ISTITUZIONI DI STORIA E CRITICA DEL CINEMA II V.O
3632;ISTIT. DI STORIA DEL TEATRO E SPETTACOLO I V.O
3633;STORIA DELLA LINGUA SPAGNOLA II V.O
3634;METODOLOGIA DELL'EDUCAZIONE MUSICALE V.O
3635;SOCIOLOGIA DELLE COMUNICAZIONI DI MASSA II V.O
3636;FILOLOGIA E CRITICA DANTESCA III V.O
3637;BIBLIOGRAFIA E BIBLIOTECONOMIA I V.O
3638;ARCHEOLOGIA PROVINCIE ROMANE I V.O
3639;ARCHEOLOGIA PROVINCIE ROMANE III V.O
3640;DIDATTICA DELL'ITALIANO III V.O
3641;LINGUISTICA FRANCESE II V.O
3642;STORIA DELL'EUROPA  I V.O
3643;LINGUE E LETTERATURE CELTICHE V.O
3644;DIRITTO DEI MEZZI DI COMUNICAZIONE DI MASSA V.O
3645;LETTERATURA FRANCESE MODERNA E CONTEMP. I V.O
3646;LETTERATURA FRANCESE MODERNA E CONTEMP. II V.O
3647;LETTERATURA BRASILIANA III V.O
3648;LETTERATURA ISPANO-AMERICANA III V.O
3649;LINGUISTICA ITALIANA III V.O
3650;PALEOGRAFIA E DIPLOMATICA II V.O
3651;PEDAGOGIA SOCIALE III V.O
3652;STORIA COMPARATA DELL'ARTE DEI PAESI EUROP.II V.O
3653;STORIA DEL TEATRO NORD-AMERICANO II V.O
3654;STORIA DELL'ARTE ITALIANA III V.O
3655;STORIA DELL'ARTE MODERNA  III V.O
3656;STORIA DELLA CIVILTA' ARABO ISLAMICA V.O
3657;STORIA DELL'ETA' DELL'ILLUMINISMO V.O
3658;STORIA DELLE RELIGIONI III V.O
3659;ISTITUZIONI MEDIOEVALI V.O
3660;ARCHEOLOGIA INDUSTRIALE V.O
3661;STORIA DEL RINASCIMENTO II V.O
3662;STORIA DELLE TECN. DEL DISEGNO E DELLA GRAF. V.O
3663;GRAMMATICA GRECA E LATINA V.O
3664;STORIA DELL'ARCHEOLOGIA CLASSICA I V.O
3665;STORIA DELL'INTEGRAZIONE EUROPEA V.O
3666;STORIA CONTEMPORANEA III V.O
3667;STORIA DELLA FILOSOFIA CONTEMPORANEA II V.O
3668;EDUCAZIONE COMPARATA III V.O
3669;FILOSOFIA DELLA RELIGIONE III V.O
3670;FILOSOFIA DELLA SCIENZA III V.O
3671;GEOGRAFIA DEL PAESAGGIO E DELL'AMBIENTE III V.O
3672;LETTERATURA CRISTIANA ANTICA I V.O
3673;SOCIOLINGUISTICA III V.O
3674;STORIA DELLA FILOSOFIA MEDIOEVALE II V.O
3675;STORIA DELLA LINGUA INGLESE II V.O
3676;STORIA DELLA STAMPA E DELL'EDITORIA I V.O
3677;LINGUE E LETTERATURE SCANDINAVE 2 (SCRITTO) V.O
3678;PLASTICA ORNAMENTALE V.O
3680;STORIA DEI MOVIMENTI E DEI PARTITI POLITICI V.O
3681;STORIA DELLE TEORIE DEL TEATRO V.O
3682;LINGUE E LETTERATURE ISPANOAMERICANE V.O
3683;TEORIA DELLA LETTERATURA V.O
3684;STORIA DELLE TEORIE DEL TEATRO I V.O
3685;STORIA DELLE TEORIE DEL TEATRO II V.O
3686;METODOLOGIA DELLA RICERCA PEDAGOGICA V.O
3694;STORIA DELLA PEDAGOGIA  II (1 SEM) V.O
3695;STORIA DEL PENSIERO SOCIOLOGICO (1 SEM) V.O
3696;STORIA DEL PENSIERO SOCIOLOGICO (2 SEM) V.O
3697;LEGISLAZIONE DEL TURISMO V.O
3698;LEGISLAZIONE SCOLASTICA V.O
3699;ISTITUZIONI DI GEOMETRIA SUPERIORE V.O
3700;DIRITTO DELLA PREVIDENZA SOCIALE V.O
3701;PSICOLOGIA FISIOLOGICA (1 SEM) V.O
3702;DIRITTO DELLA PREVIDENZA SOCIALE V.O
3703;DIRITTO DELLE IMPRESE V.O
3704;TECNICHE E POLITICHE DI VENDITA V.O
3705;SCIENZA DELL'AMMINISTRAZIONE V.O
3706;GEOGRAFIA MEDICA V.O
3707;ECONOMIA DELLA POPOLAZIONE V.O
3708;DIRITTO DELLE ASSICURAZIONI PRIVATE V.O
3709;DIRITTO DEL LAVORO E DELLA PREVIDENZA SOCIALE V.O
3710;SOCIOLOGIA ECONOMICA E DEL LAVORO V.O
3711;METODI MATEMATICI STATISTICI V.O
3712;TOSSICOLOGIA V.O.
3713;LINGUA SPAGNOLA V.O
3714;ECONOMIA DEL TURISMO V.O
3715;LEGISLAZIONE SULLE BANCHE, BORSE E RISPARMIO V.O
3716;MATEMATICA (I MODULO) V.O
3718;MATEMATICA (II MODULO) V.O
3719;ISLAMISTICA V.O
3720;DIRITTO MUSULMANO V.O
3721;TECNICA DELLE RICERCHE DI MERCATO V.O
3722;DIRITTO INTERNAZIONALE 2 V.O
3723;CHIMICA GENERALE V.O
3724;STRUTTURE DELLA FIGURAZIONE V.O
3725;TEATRI ORIENTALI V.O
3728;TEORIA E STORIA DEL RESTAURO V.O
3729;FILOSOFIA DELLA RELIGIONE 2 V.O
3730;ERMENEUTICA FILOSOFICA 2 V.O
3731;PALEONTOLOGIA DEI VERTEBRATI V.O
3732;DIRITTO BANCARIO V.O
3733;DIRITTO AGRARIO COMPARATO V.O
3734;DIRITTO PUBBLICO ROMANO V.O
3735;ECONOMIA FINANZIARIA V.O
3736;TEORIA DEGLI SCAMBI INTERNAZIONALI V.O
3737;ISTITUZIONI DI DIRITTO PUBBLICO I MODULO V.O
3738;POLITICA DELL'INTEGRAZIONE EUROPEA V.O
3739;ECONOMIA DEI PAESI IN VIA DI SVILUPPO V.O
3740;SOCIOLOGIA V.O
3741;ISTITUZIONI ECONOMICHE INTERNAZIONALI V.O
3742;STORIA E POLITICA MONETARIA V.O
3743;ISTITUZIONI DI MATEMATICHE II V.O.
3744;FONDAMENTI DI ELETTRONICA I V.O
3745;MINERALOGIA E CRISTALLOGRAFIA I+II V.O
3746;FISICA SPERIMENTALE II V.O
3747;TECNOLOGIA DEI MATERIALI 1 V.O
3748;METODI MATEMATICI E STATISTICI V.O
3749;CHIMICA ORGANICA V.O
3750;CHIMICA DEI MATERIALI II V.O
3751;CHIMICA FISICA V.O
3752;FONDAMENTI DI ELETTRONICA II V.O
3753;LABORATORIO DI MINERALOGIA V.O
3754;SCIENZA DELL'AMMINISTRAZIONE V.O
3755;DIRITTO COMMERCIALE II V.O
3756;DIRITTO REGIONALE V.O
3757;DIRITTO BANCARIO V.O
3758;POLITICA AGRARIA DELLA C.E.E. V.O
3759;STORIA SOCIALE SEMESTRALE V.O
3760;TECNOLOGIE DELL'ISTRUZ. E APPREND. SEMESTRALE V.O
3761;TEORIA DELLA COMUNICAZIONE SEMESTRALE V.O
3762;TEORIA E TECNICA DEL COLLOQUIO PSICOL. SEM. V.O
3764;LINGUA INGLESE I V.O.
3765;BIOLOGIA ANIMALE E VEGETALE V.O
3766;ECONOMIA E GEST. DELLE IMPRESE I MODULO SEM. V.O
3767;ECONOMIA E GEST. DELLE IMPRESE II MODULO SEM. V.O
3768;METODI E MODELLI MATEM. PER LE APPLICAZIONI V.O
3769;DIRITTO DELL'AMBIENTE II MODULO V.O
3770;MATEMATICA PER L'ECONOMIA V.O
3771;GEOCHIMICA NUCLEARE V.O
3772;ANALISI GEOCHIMICHE V.O
3773;GEOLOGIA PIANIFICAZIONE TERRITORIALE V.O
3774;METODOLOGIA E TECNICA DEL SERVIZIO SOCIALE V.O
3775;METODOLOGIA E TECNICA DEL SERVIZIO SOCIALE II V.O
3786;STORIA ROMANA  I (1 SEM) V.O
3787;STORIA ROMANA  I (2 SEM) V.O
3788;TECNOLOGIE DELL'ISTRUZ. E APPREND. (1 SEM) V.O
3789;TECNOLOGIE DELL'ISTRUZ. E APPREND. (2 SEM) V.O
3790;STATISTICA SOCIALE (1 SEM) V.O
3791;STATISTICA SOCIALE (2 SEM) V.O
3792;DIRITTO PUBBLICO (1 SEM) V.O
3793;DIRITTO PUBBLICO (2 SEM) V.O
3794;PRINCIPI FONDAMENTI SERVIZIO SOCIALE (II S.) V.O
3795;POLITICA SOCIALE (1 SEM) V.O
3796;POLITICA SOCIALE (2 SEM) V.O
3797;DIRITTO DELL'UNIONE EUROPEA II MODULO V.O
3798;PRINCIPI E FONDAM. SERVIZIO SOCIALE (1 SEM) V.O
3799;STORIA DELLE RELAZIONI INTERNAZIONALI III V.O
3803;LINGUA TEDESCA SEMESTRALE V.O
3804;LINGUA SPAGNOLA SEMESTRALE V.O
3805;LINGUA PORTOGHESE SEMESTRALE V.O
3806;LOGICA SEMESTRALE V.O
3807;METODOLOGIA DELL'EDUCAZ. MUSICALE SEMESTRALE V.O
3808;METODOLOGIA DELLA RICERCA PEDAG.CA SEMESTRALE V.O
3809;METODOLOGIA DELLA FORMAZ. PROF.LE SEMESTRALE V.O
3810;NEUROPSICHIATRIA INFANTILE SEMESTRALE V.O
3811;ORDINAMENTO DELLA FAMIGLIA SEMESTRALE V.O
3812;PEDAGOGIA DELLA COMUNITA' SEMESTRALE V.O
3813;PEDAGOGIA DELLA FAMIGLIA SEMESTRALE V.O
3814;PEDAGOGIA DELLA MARGINAL E DEV MINORI (1 SEM) V.O
3815;PEDAGOGIA DELLA MOTRICITA' SEMESTRALE V.O
3816;PEDAGOGIA DELLO SPORT SEMESTRALE V.O
3817;PEDAGOGIA E PSICOL. COM. DI MASSA SEMESTRALE V.O
3818;PEDAGOGIA SPERIMENTALE SEMESTRALE V.O
3819;PEDIATRIA PREVENTIVA E SOCIALE SEMESTRALE V.O
3820;PSICODINAMICA RELAZIONI FAMILIARI SEMESTRALE V.O
3821;PSICOLOGIA DELLA RELIGIONE SEMESTRALE V.O
3822;PSICOLOGIA DI COMUNITA' SEMESTRALE V.O
3823;PSICOLOGIA DI GRUPPO SEMESTRALE V.O
3824;PSICOLOGIA DINAMICA SEMESTRALE V.O
3825;PSICOLOGIA SOCIALE SEMESTRALE V.O
3826;PSICOPEDAGOGIA SEMESTRALE V.O
3827;PSICOPEDAGOGIA APPRENDIM. SCOLAST. SEMESTRALE V.O
3828;PSICOPEDAGOGIA ORIENTAM. FORMAZ. PROF. SEM. V.O
3829;PSICOPEDAGOGIA LINGUAGGIO E COMUN. SEMESTRALE V.O
3830;SOCIOLOGIA DEI PROCESSI CULTURALI SEMESTRALE V.O
3831;SOCIOLOGIA DELL'ORGANIZZAZIONE SEMESTRALE V.O
3832;SOCIOLOGIA DELLA COMUNICAZIONE SEMESTRALE V.O
3833;SOCIOLOGIA DELLA DEVIANZA (1 SEM) V.O
3834;SOCIOLOGIA DELLA FAMIGLIA SEMESTRALE V.O
3835;SOCIOLOGIA DELLA MEDICINA SEMESTRALE V.O
3836;SOCIOLOGIA DELLA RELIGIONE SEMESTRALE V.O
3837;SOCIOLOGIA DELLA SALUTE SEMESTRALE V.O
3838;SOCIOLOGIA DELLE COMUNITA' LOCALI (1 SEM) V.O
3839;SOCIOLOGIA DELLA SICUREZZA SOCIALE SEMESTRALE V.O
3840;SOCIOLOGIA DELLE COMUNICAZ. MASSA SEMESTRALE V.O
3841;SOCIOLOGIA DELLE RELAZIONI ETNICHE  (1 SEM) V.O
3842;STATISTICA SEMESTRALE V.O
3843;STORIA CONTEMPORANEA SEMESTRALE V.O
3844;STORIA DELL'AMMINISTRAZIONE PUBBLICA SEMESTR. V.O
3845;STORIA DELL'EDUCAZIONE  (1 SEM) V.O
3846;STORIA DELLA CITTA' E DEL TERRITORIO SEMESTR. V.O
3847;STORIA DELLA FILOSOFIA SEMESTRALE V.O
3848;STORIA DELLA PEDAGOGIA SEMESTRALE V.O
3849;STORIA DELLA PSICOLOGIA SEMESTRALE V.O
3850;STORIA DELLA SCUOLA E ISTIT. EDUC. I (1 SEM) V.O
3851;STORIA DELLA STAMPA E DELL'EDITORIA SEMESTR. V.O
3852;STORIA DELLE IDEE SEMESTRALE V.O
3853;STORIA DELLE ISTITUZIONI POLITICHE SEMESTRALE V.O
3854;STORIA DELLE RELIGIONI (2 SEM) V.O
3855;STORIA DEL PENSIERO SEMESTRALE V.O
3856;STORIA DEL PENSIERO SOCIOLOGICO SEMESTRALE V.O
3857;STORIA ECONOMICA E SOCIALE MONDO CONT. SEM. V.O
3863;PEDAGOGIA INTERCULTURALE SEMESTRALE V.O.
3864;PEDAGOGIA SOCIALE SEMESTRALE V.O
3865;TEORIA E STORIA DEI SISTEMI FILOSOF. (1 SEM) V.O
3866;PEDAGOGIA V.O
3867;PEDAGOGIA SPECIALE (1 SEM) V.O
3868;ANTROPOLOGIA CULTURALE SEMESTRALE V.O
3869;LETTERATURA PER L'INFANZIA V.O
3870;ETICA SOCIALE (1 SEMESTRE) V.O
3871;PSICOLOGIA DELLA PERS. E DIFF. INDIV. (1 SEM) V.O
3872;PSICOLOGIA GERONTOLOGICA (1 SEM) V.O
3873;PSICOPATOLOGIA GENERALE ANNUALE V.O
3874;MEDICINA DELLE COMUNITA' (1 SEM) V.O
3875;FISIOLOGIA GENERALE SEMESTRALE V.O
3876;SOCIOLOGIA SEMESTRALE V.O
3877;SOCIOLOGIA DELL'EDUCAZIONE SEMESTRALE V.O
3878;LEGISLAZIONE MINORILE SEMESTRALE V.O
3879;METODI E TECNICHE SERVIZIO SOCIALE SEMESTRALE V.O
3880;METODOLOGIA E TECN GIOCO E DELL'ANIM. (1SEM) V.O
3881;TEORIA E TECNICHE DINAMICA DI GRUPPO ANNUALE V.O
3882;BIBLIOGRAFIA E BIBLIOTECONOMIA SEMESTRALE V.O
3883;CRIMINOLOGIA MINORILE (1 SEM) V.O
3884;DIDATTICA GENERALE SEMESTRALE V.O
3885;DIRITTO AMMINISTRATIVO (1 SEM) V.O
3886;DIRITTO CIVILE (1 SEM) V.O
3887;DIRITTO DEL LAVORO E PREV. SOCIALE  (SEM) V.O
3888;DIRITTO DI FAMIGLIA SEMESTRALE V.O
3889;DIRITTO PENITENZIARIO SEMESTRALE V.O
3890;DIRITTO REGIONALE E DEGLI ENTI LOCALI SEM. V.O
3891;DOCIMOLOGIA SEMESTRALE V.O
3892;ECONOMIA APPLICATA SEMESTRALE V.O
3893;ECONOMIA AZIENDALE SEMESTRALE V.O
3894;ECONOMIA DELL'ISTRUZIONE SEMESTRALE V.O
3895;ECONOMIA DEL LAVORO SEMESTRALE V.O
3896;EDUCAZIONE COMPARATA SEMESTRALE V.O
3897;EDUCAZIONE DEGLI ADULTI SEMESTRALE V.O
3898;FILOSOFIA DELL'EDUCAZIONE SEMESTRALE V.O
3899;FILOSOFIA TEORETICA  II (2 SEM) V.O
3900;IGIENE MENTALE SEMESTRALE V.O
3901;INFORMATICA SEMESTRALE V.O
3902;ISTITUZIONI DIRITTO PUB. LEG. SCOL. SEMESTR. V.O
3903;LEGISLAZIONE SOCIALE SEMESTRALE V.O
3904;LINGUA FRANCESE SEMESTRALE V.O
3905;LINGUA INGLESE (1 SEM) V.O.
3906;PALEOBIOGEOGRAFIA V.O
3907;INFORMATICA GENERALE V.O
3908;ARCHITETTURA TECNICA V.O
3909;STORIA DEI RAPPORTI FRA STATO E CHIESA V.O
3912;STATISTICA I SEM. V.O
3913;STATISTICA II SEM. V.O
3914;ISTIT. DI DIRITTO PUBB. E LEGISL. SCOL. (1 S) V.O
3915;ISTIT. DI DIRITTO PUBB. E LEGISL. SCOL. (2 S) V.O
3916;DIRITTO DELL'UNIONE EUROPEA I MODULO V.O
3917;METODOLOGIA DELL'EDUCAZIONE MUSICALE V.O
3918;ECONOMIA E TECNICA DELLA COMUNICAZ. AZIENDALE V.O
3919;LINGUA SVEDESE V.O
3920;STORIA DELLE COSTITUZIONI MODERNE V.O
3921;DIRITTO DELLE COMUNITA' EUROPEE (SEMESTRALE) V.O
3922;POLITICA ESTERA E SICUREZZA EUROPEA (SEMESTR) V.O
3923;TRANSIZIONE EC.PIANIF.-EC.MERC.EUROPA EST V.O.
3924;SISTEMI DINAMICI V.O
3925;LINGUA E LETTERATURA GRECA V.O
3926;ANTROPOLOGIA CULTURALE  II (1 SEM) V.O
3927;ANTROPOLOGIA CULTURALE  II (2 SEM) V.O
3928;ECONOMIA E GEST. DELLE RISORSE UMANE V.O
