COD;DES
145;STORIA DELLE RELAZIONI INTERNAZIONALI V.O.
146;STORIA E ISTITUZIONI DEI PAESI AFRO-ASIATICI V.O
147;LINGUA RUSSA (BIENNALE) V.O
148;STORIA DELL'EUROPA OCCIDENTALE V.O
149;GEOGRAFIA POLITICA ED ECONOMICA V.O
150;ECONOMIA POLITICA II V.O
151;STORIA DEI MOVIMENTI SINDACALI V.O
152;METODOLOGIA DELLE SCIENZE POLITICHE V.O
153;ECONOMIA E POLITICA DELLO SVILUPPO V.O
154;MERCEOLOGIA V.O
155;SOCIOLOGIA (CORSO AVANZATO) V.O.
156;LINGUA INGLESE SCRITTO V.O.
157;ABITAZIONI E ALLOGGI DELL'UOMO V.O.
158;SISTEMI GEOGRAFICI INTEGRATI DISEGNO URBANO V.O.
171;METODOLOGIE DELLA PROGETTAZIONE I V.O.
173;ISTITUZIONI DI DIRITTO PRIVATO V.O.
174;ISTITUZIONI DI DIRITTO ROMANO V.O.
175;DIRITTO COMUNITA' EUROPEE V.O.
176;DIRITTO PENALE V.O.
177;STORIA DEL DIRITTO ITALIANO I V.O.
178;STORIA DEL DIRITTO ROMANO V.O.
179;SCIENZA DELLE FINANZE E DIRITTO FINANZIARIO V.O.
180;DIRITTO PUBBLICO GENERALE V.O.
181;STORIA DEL DIRITTO ITALIANO (BIENNALE) V.O.
182;DIRITTO CIVILE (BIENNALE) V.O.
183;DIRITTO DELLA NAVIGAZIONE V.O.
184;DIRITTO REGIONALE V.O.
185;DIRITTO DEL LAVORO V.O.
186;DIRITTO INTERNAZIONALE V.O.
187;ISTITUZIONI DIRITTO PUBBLICO V.O.
188;SISTEMI GIURIDICI COMPARATI V.O.
189;DIRITTO FALLIMENTARE V.O
190;DIRITTO PENALE I V.O.
191;DIRITTO PROCESSUALE CIVILE V.O.
192;ECONOMIA AZIENDALE V.O.
193;STORIA DEL DIRITTO ITALIANO V.O.
228;DIRITTO COSTITUZIONALE COMPARATO V.O.
229;SOCIOLOGIA DEL DIRITTO V.O.
230;ISTITUZIONI DI DIRITTO PRIVATO I V.O.
231;DIRITTO AMMINISTRATIVO V.O.
232;DIRITTO CIVILE V.O.
233;DIRITTO COMMERCIALE I V.O.
234;DIRITTO COMMERCIALE II V.O.
235;DIRITTO PENALE II V.O.
236;DIRITTO ROMANO V.O.
237;ISTITUZIONI DI DIRITTO PRIVATO II V.O
238;STORIA DELLE CODIFICAZIONI MODERNE V.O
239;DIRITTO INDUSTRIALE V.O
240;DIRITTO TRIBUTARIO V.O
241;DIRITTO PROCESSUALE AMMINISTRATIVO V.O
242;DIRITTO CIVILE II V.O
243;DIRITTO CIVILE (II ANNUALITA') V.O.
244;DIRITTO PENALE COMPARATO V.O.
246;FISICA SPERIMENTALE I V.O.
247;ANALISI MATEMATICA I V.O.
248;GEOMETRIA I V.O.
249;ESPERIMENTAZIONE FISICA I V.O
250;CITOLOGIA ED ISTOLOGIA V.O
251;CHIMICA ORGANICA V.O
252;FISICA V.O
253;BOTANICA V.O
254;LABORATORIO DI FISICA V.O
255;LABORATORIO DI GEOLOGIA I V.O
256;ANALISI MATEMATICA II V.O.
257;GEOMETRIA II V.O
258;CHIMICA BIOLOGICA V.O
259;FISIOLOGIA GENERALE V.O
260;GENETICA V.O
261;ZOOLOGIA V.O.
262;FISIOLOGIA VEGETALE V.O
263;MICROBIOLOGIA GENERALE V.O
264;LABORATORIO DI BIOLOGIA II V.O
265;GEOLOGIA I (SEM) V.O
266;ANATOMIA UMANA V.O
267;FISICA I (SEM) V.O
268;ANTROPOLOGIA V.O
269;FONETICA V.O
270;FISIOLOGIA UMANA V.O
271;CLINICA PSICHIATRICA V.O
272;ESERCITAZIONI DI DISEGNO DI ELEMENTI MACCHINE V.O
273;TEORIE DEI GIOCHI V.O.
274;TECNICHE DI SIMULAZIONE V.O
275;LINGUA OLANDESE V.O
276;SEMIOTICA DELLO SPETTACOLO V.O
277;STORIA DELLA FOTOGRAFIA V.O
278;SCIENZA DELL'AMMINISTRAZIONE V.O
279;STORIA DELLA LINGUA RUSSA V.O.
280;SCENOGRAFIA V.O.
281;RELIGIONI DEL VICINO ORIENTE ANTICO V.O.
282;DIRITTO DELLA SICUREZZA SOCIALE V.O.
283;STORIA DELLE ARTI DECORATIVE E INDUSTRIALI V.O.
284;STORIA DELL'ARTE VENETA V.O.
285;ICONOGRAFIA E ICONOLOGIA V.O.
286;STORIA DELLA LINGUA ITALIANA V.O.
287;CHIMICA (I MODULO) V.O.
288;IDRAULICA (I MODULO) V.O.
289;RELIGIONI DEI POPOLI PRIMITIVI V.O.
290;DIRITTO CANONICO V.O.
291;DIRITTO CIVILE I V.O.
292;DIRITTO COMMERCIALE V.O.
293;DIRITTO COSTITUZIONALE V.O.
294;DIRITTO ECCLESIASTICO V.O.
295;DIRITTO PRIVATO COMPARATO V.O.
296;DIRITTO ROMANO I V.O.
297;ECONOMIA POLITICA V.O.
298;FILOSOFIA DEL DIRITTO V.O.
299;SCIENZA DELLE FINANZE V.O.
300;STORIA DEL DIRITTO CANONICO V.O.
301;ESEGESI DELLE FONTI DIRITTO ROMANO V.O.
302;MEDICINA DELLE COMUNITA' V.O.
303;ESEGESI DELLE FONTI DEL DIRITTO ITALIANO V.O.
304;DIRITTO ROMANO (BIENNALE) V.O.
305;STORIA DEL DIRITTO ITALIANO II V.O
306;DIRITTO ROMANO II V.O
307;DIRITTO AMMINISTRATIVO I V.O
308;GIUSTIZIA COSTITUZIONALE V.O
543;DIRITTO DIPLOMATICO E CONSOLARE V.O
544;DIRITTO INTERNAZIONALE PRIVATO V.O
580;DIRITTO INTERNAZIONALE V.O
581;ECONOMIA DELLE ISTITUZIONI V.O
582;ECONOMIA INDUSTRIALE V.O
583;ECONOMIA DELL'INTEGRAZIONE EUROPEA V.O
584;MACROECONOMIA AVANZATA V.O
585;MATEMEMATICA PER LE APPLICAZIONI ECON. E FIN. V.O
586;LINGUA DANESE V.O
587;DIRITTO COSTITUZIONALE ITALIANO E COMPARATO V.O
588;ECONOMIA POLITICA V.O
589;ISTITUZIONI DI DIRITTO PRIVATO V.O
590;ISTITUZIONI DI DIRITTO PUBBLICO V.O
591;LINGUA TEDESCA (BIENNALE) V.O
592;SOCIOLOGIA V.O
593;STATISTICA V.O
594;STORIA MODERNA (CORSO ISTITUZIONALE) V.O
595;DIRITTO INTERNAZIONALE V.O
596;ECONOMIA AZIENDALE V.O
597;SCIENZA DELL'AMMINISTRAZIONE V.O
598;POLITICA ECONOMICA V.O
599;DIRITTO AMMINISTRATIVO V.O
600;DIRITTO PRIVATO DELLE COMUNITA' EUROPEE V.O
601;ECONOMIA PUBBLICA V.O
602;SOCIOLOGIA POLITICA V.O
603;STATISTICA ECONOMICA V.O
604;STORIA CONTEMPORANEA (CORSO AVANZATO) V.O
605;STORIA DELL'EUROPA ORIENTALE V.O
606;STORIA MODERNA (CORSO AVANZATO) V.O
607;SCIENZA POLITICA V.O
608;ISTITUZIONI DI DIRITTO E PROCEDURA PENALE V.O
609;STORIA DEL GIORNALISMO V.O
610;PROGRAMMAZIONE E CONTROLLO AMMIN. PUBBLICHE V.O
611;METODOLOGIA DELLE SCIENZE SOCIALI V.O
612;LINGUA INGLESE II (BIENNALE) V.O
613;ECONOMIA INTERNAZIONALE V.O
614;DIRITTO DEGLI ENTI LOCALI V.O
615;DEMOGRAFIA V.O
616;SVILUPPO DELLE ECONOMIE AGRICOLE V.O
617;ECONOMIA DEGLI INTERMEDIARI FINANZIARI V.O
618;ECONOMIA E DIREZIONE DELLE IMPRESE DI SERVIZI V.O
619;FINANZA AZIENDALE V.O
620;MARKETING V.O
621;MERCEOLOGIA DELLE RISORSE NATURALI V.O
622;PROGRAMMAZIONE E CONTROLLO DELLE AMMINISTRAZI V.O
623;CONTABILITA' DI STATO V.O
624;DIRITTO AMMINISTRATIVO V.O
625;DIRITTO DELL'UNIONE EUROPEA V.O
626;DIRITTO DELL'AMBIENTE I MODULO V.O
